"Transaction Hash","Blockno","UnixTimestamp","DateTime (UTC)","From","To","ContractAddress","Value_IN(ETH)","Value_OUT(ETH)","CurrentValue @ $2451.29359528061/Eth","TxnFee(ETH)","TxnFee(USD)","Historical $Price/Eth","Status","ErrCode","Method"
"0xd8aa406add628ab2fc939f07772c401213ac8a97daf93fddbfca8b9b80e8abcd","14348494","1646773978","2022-03-08 21:12:58","0xa539313eec2cd836c6583327262c47f23243e779","0xa040f0bc08f27db307926551de47c79ebeb1820b","","0.1","0","245.129359528061","0.013956521448998484","34.2115316403264","2579.18","","","Buy"
"0xdb780e0cd1b56f2bbc880b47eec4903223b4557a8f912bd0c55072583d7cf162","14348612","1646775363","2022-03-08 21:36:03","0x82b16b42010a81f5eace52abedd60cddee3f6fde","0xa040f0bc08f27db307926551de47c79ebeb1820b","","0.2","0","490.258719056122","0.008229899202205686","20.1738992041718","2579.18","","","Buy"
"0x435594c6ff54a9d6e3d7fc7709545e22934cc136dbcd0a09b1440c7b908cde0f","14348642","1646775769","2022-03-08 21:42:49","0xb9b567ed1f2c660cf003ddd7b0da61ff8719dd1d","0xa040f0bc08f27db307926551de47c79ebeb1820b","","0.1","0","245.129359528061","0.010791092874553788","26.4521368494719","2579.18","","","Buy"
"0x785a2d7079e5d9e461519a36f5be43736feb3a340ec6699890b0714b5de1344f","14348649","1646775840","2022-03-08 21:44:00","0xcd4c7ef96563846dbe433639fa712ed143df7674","0xa040f0bc08f27db307926551de47c79ebeb1820b","","0.1","0","245.129359528061","0.008939408063618676","21.9131137319483","2579.18","","","Buy"
"0x2c9cb1bf387e341c64812a75855a6b34009b45466596fa173e79a17ca1d3a2cd","14348659","1646776024","2022-03-08 21:47:04","0x82b16b42010a81f5eace52abedd60cddee3f6fde","0xa040f0bc08f27db307926551de47c79ebeb1820b","","0.1","0","245.129359528061","0.01038690134295805","25.4613447368046","2579.18","","","Buy"
"0xdd3b11e14a0b48b21ac9edc1386fec772278364bff36c96149e09ba5b76b9bf0","14348674","1646776248","2022-03-08 21:50:48","0x5d9f4e0f43692a30b9ffefdb288b8a122b3e6d32","0xa040f0bc08f27db307926551de47c79ebeb1820b","","0.1","0","245.129359528061","0.010065871190071734","24.6744055791425","2579.18","","","Buy"
"0xb8950658a3b099c071a6c02eac9f70a8b92ba1f9fa81dd463562dc2a2fa39cb6","14348679","1646776316","2022-03-08 21:51:56","0x0e822cef2ce1b394b8b44968f90f53f61355dd85","0xa040f0bc08f27db307926551de47c79ebeb1820b","","0.1","0","245.129359528061","0.008440890825012786","20.6911016178167","2579.18","","","Buy"
"0xb5de569a9bf5a823b42ac9cdefc04a553c438946ebfecf4c233262e3be7771cc","14348706","1646776688","2022-03-08 21:58:08","0x14789cb3e5663c8d61f11a40092d16c02356c8d2","0xa040f0bc08f27db307926551de47c79ebeb1820b","","0.1","0","245.129359528061","0.010637999405062908","26.0768598082296","2579.18","","","Buy"
"0x2534cc3f394e42f877ae7e719a3aa2b80712228c06ec4b0d99e93e2a69100924","14348707","1646776696","2022-03-08 21:58:16","0x14789cb3e5663c8d61f11a40092d16c02356c8d2","0xa040f0bc08f27db307926551de47c79ebeb1820b","","0.1","0","245.129359528061","0.012134019067778354","29.7440432258579","2579.18","","","Buy"
"0xa1dc7166f508870531f1b2c24af22a2dca8c46568deed93f50f0ce3346e7055d","14348707","1646776696","2022-03-08 21:58:16","0x9c135b899891d4541f64afe65b8b52cc46c04cc6","0xa040f0bc08f27db307926551de47c79ebeb1820b","","0.1","0","245.129359528061","0.011935665125309154","29.2578194770845","2579.18","","","Buy"
